[0228/192052.354:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0301/083056.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083101.507:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083101.687:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083106.525:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083106.709:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083111.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083111.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083116.543:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083116.728:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083121.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083121.738:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083126.562:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083126.749:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083131.576:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083131.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083136.589:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0301/083136.773:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
